Door,17,Door 4,Door 4,HIGH,4.900000000000006,-9.049999999999997,true,3,-8.899999999999991
Door,18,Bathroom 2,Bathroom 2,LOW,4.450000000000003,-10,true,4.400000000000006,-11.899999999999991
Door,19,Door 6,Door 6,HIGH,10.650000000000006,-9.949999999999989,true,10.75,-12.449999999999989
Door,20,Door 2,Door 2,HIGH,1.3500000000000085,-7.199999999999989,true,0.15000000000000568,-7.199999999999989
Door,21,Door 1,Door 1,HIGH,1.9500000000000028,3,true,0.25,3.0500000000000114
Door,23,Door 3,Door 3,LOW,5.400000000000006,4.400000000000006,true,3.3500000000000085,4.450000000000003
Door,24,Bathroom 1,Bathroom 1,HIGH,5.150000000000006,5.3500000000000085,true,5.150000000000006,7.550000000000011
Door,25,Door 5,Door 5,HIGH,11.350000000000009,4.950000000000003,true,11.400000000000006,7.300000000000011
Waypoint,0,Base,0,0,1,1,0,true,LOW
Waypoint,1,Waypoint271460,3.4000000000000057,-0.30000000000001137,3,0,2,3,0,false
Waypoint,2,Waypoint270410,3.5500000000000114,1.6000000000000085,2,1,8,1,21,false
Waypoint,3,Waypoint265581,3.25,-6.799999999999997,2,1,4,1,20,false
Waypoint,4,Waypoint324588,5.150000000000006,-6.949999999999989,2,3,6,2,17,18,false
Waypoint,6,Waypoint427601,10.850000000000009,-7.3999999999999915,2,4,14,1,19,false
Waypoint,8,Waypoint332411,5.200000000000003,1.4500000000000028,2,2,11,2,23,24,false
Waypoint,11,Waypoint434411,11.200000000000003,1.4500000000000028,2,8,12,1,25,false
Waypoint,12,Waypoint513410,14.700000000000003,2.1999999999999886,3,11,13,14,0,false
Waypoint,13,End of Hallway 1,24.60000000000001,1.8000000000000114,2,12,15,0,true,HIGH
Waypoint,14,Waypoint506608,14.350000000000009,-7.699999999999989,3,6,12,15,0,false
Waypoint,15,End of Hallway 2,24.5,-8.299999999999997,2,14,13,0,true,HIGH
